%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:06
%
% For Matlab use: 
Input=dlmread('01 1 s700 healthy.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0000000000	-0.5301950000	0.0680823000	0.5634537000	-0.2897021000	0.0407806449
0.0001562500	0.1086190000	-0.0277461000	-1.1294776000	-0.2897021000	0.0374953349
0.0003125000	-0.2746694000	0.0680823000	0.3398590000	0.0616599000	-0.0130880096
0.0004687500	0.6196702000	-0.1235745000	-0.7461724000	-0.0341661000	-0.0500607840
0.0006250000	0.4599667000	0.5152815000	0.1801485000	0.7324419000	-0.0302446285
0.0007812500	0.6516109000	-0.3791169000	-0.8100566000	0.7324419000	-0.0200758118
0.0009375000	0.8751958000	0.3236247000	-0.0753883000	0.8921519000	0.0264921538
0.0010937500	0.2683225000	0.9305379000	-0.5545198000	0.9560359000	-0.0339992685
0.0012500000	0.6516109000	0.7708239000	-0.6184040000	0.4130219000	-0.0503215229
0.0014062500	-0.1469066000	-0.4430025000	-1.9919143000	0.2533119000	-0.0556927440
0.0015625000	0.3960853000	0.2277963000	-0.7142303000	0.2213699000	-0.0290452296
0.0017187500	0.4599667000	0.4194531000	-2.5668721000	0.4449639000	-0.0552234140
0.0018750000	1.2904249000	0.9944235000	0.3398590000	1.2754559000	-0.0793678351
0.0020312500	1.4181877000	1.1541375000	-0.8739408000	0.9879779000	-0.1096656940
0.0021875000	0.7154923000	0.3555675000	-0.5545198000	1.2115719000	-0.0798371651
0.0023437500	1.0668400000	0.2597391000	-1.0017092000	0.4769059000	-0.0848954996
0.0025000000	-0.3385508000	0.0680823000	-1.0655934000	-0.0980501000	-0.1207210229
0.0026562500	0.5238481000	0.6749955000	-0.8100566000	0.6046739000	-0.0967851929
0.0028125000	-0.4343729000	-0.4110597000	-1.0017092000	-0.4174701000	-0.0886501396
0.0029687500	0.2044411000	-0.1235745000	-0.6184040000	0.1894279000	-0.0805672340
0.0031250000	0.4280260000	0.4194531000	-0.9378250000	-0.0661081000	-0.1197823629
0.0032812500	0.4280260000	0.0041967000	-0.3309251000	0.3810799000	-0.1083619996
0.0034375000	1.0987807000	0.4833387000	0.2440327000	0.5727319000	-0.0956379418
0.0035937500	0.1725004000	0.8985951000	-0.0434462000	0.5727319000	-0.0828617362
0.0037500000	1.1307214000	1.6332795000	0.7551063000	1.2754559000	-0.0717542596
0.0039062500	-0.0830252000	-0.2513457000	-0.2670409000	0.4130219000	-0.0458889618
0.0040625000	0.4280260000	0.4833387000	0.0523801000	0.7324419000	0.0360351971
0.0042187500	0.3960853000	0.5152815000	-0.8100566000	0.9560359000	0.0153325293
0.0043750000	1.0668400000	0.0680823000	1.0106431000	1.8504119000	0.0243540949
0.0045312500	0.4280260000	0.0361395000	-1.5127828000	0.3171959000	0.0609618349
0.0046875000	0.9390772000	0.5472243000	0.6592800000	1.8184699000	0.0791614093
0.0048437500	0.2044411000	-0.5707737000	-1.7683196000	0.0297179000	0.0364523793
0.0050000000	0.5557888000	-0.1235745000	-0.3309251000	1.1157459000	0.0106913771
0.0051562500	-0.5621357000	-0.9221445000	-1.8641459000	-1.0243681000	0.0104827860
0.0053125000	0.5557888000	0.0361395000	-0.3948093000	1.4990499000	0.0525660426
0.0054687500	-0.6898985000	-0.5388309000	-1.0336513000	-0.5132961000	0.0329584782
0.0056250000	0.0766783000	0.1319679000	-1.0017092000	0.0297179000	0.0123079582
0.0057812500	-0.3385508000	-0.4110597000	-1.8002617000	-0.6091221000	-0.0393183418
0.0059375000	0.1405597000	-0.4430025000	0.2120906000	0.2852539000	-0.0398398196
0.0060937500	-0.2746694000	-0.4430025000	-1.0017092000	-0.4813541000	-0.0294102640
