%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:10
%
% For Matlab use: 
Input=dlmread('08 3 s1000 cavitation50.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0000000000	0.4280260000	0.2597391000	1.8411377000	-1.3437881000	0.1144133071
0.0001562500	-2.4785777000	0.7388811000	1.6175430000	0.2213699000	0.0775448282
0.0003125000	0.3641446000	2.2721355000	2.4480376000	-3.4200181000	0.0209123415
0.0004687500	-1.5842381000	-1.2096297000	1.5856009000	1.5629339000	0.1116494749
0.0006250000	-1.1690090000	0.7388811000	1.1384115000	-1.8548601000	0.1377755115
0.0007812500	0.3002632000	-2.1998565000	0.7870484000	2.0420639000	-0.0782205840
0.0009375000	-1.3287125000	-0.8582589000	0.4676274000	1.2754559000	-0.1148283240
0.0010937500	0.0127969000	-0.7943733000	0.9787010000	0.4769059000	-0.0095941085
0.0012500000	-1.3606532000	2.0165931000	0.9148168000	0.4769059000	0.1497695004
0.0014062500	1.6737133000	1.5374511000	0.2120906000	1.8504119000	0.2642860204
0.0015625000	0.7154923000	-1.2096297000	0.4037432000	-1.0882521000	0.2083836026
0.0017187500	1.8014761000	-1.0499157000	1.2981220000	2.1698319000	0.2299206349
0.0018750000	0.7793737000	-2.1040281000	0.3718011000	-0.5452381000	0.0347315026
0.0020312500	1.2265435000	-1.1138013000	0.7551063000	-0.3855281000	-0.1634822007
0.0021875000	1.0987807000	-0.1235745000	0.9787010000	1.6268179000	0.0930848660
0.0023437500	-1.4564753000	2.9429343000	0.0843222000	-1.7590341000	0.2535435782
0.0025000000	1.8972982000	0.2916819000	0.3718011000	1.6907019000	0.1961810226
0.0026562500	-2.7021626000	-0.4749453000	0.6273379000	-1.5993241000	0.0077711015
0.0028125000	0.6835516000	-1.6887717000	1.2022957000	-0.4174701000	0.0218510015
0.0029687500	0.0447376000	-1.2735153000	-0.6822882000	0.4130219000	0.0271700749
0.0031250000	1.2584842000	0.7069383000	0.9148168000	-0.2258181000	-0.0162168762
0.0032812500	0.6196702000	-0.0916317000	-0.1392725000	0.0936019000	0.0796307393
0.0034375000	-0.8815427000	0.8985951000	-0.3628672000	-0.0980501000	0.0307161238
0.0035937500	0.1725004000	1.0263663000	0.2120906000	-1.1840781000	0.1913312793
0.0037500000	-1.7120009000	1.9846503000	-0.5864619000	2.5211939000	-0.0968894885
0.0039062500	-0.8815427000	1.0263663000	0.1801485000	0.2213699000	-0.3245145385
0.0040625000	0.5877295000	1.0263663000	-1.0655934000	0.6366159000	-0.0684689496
0.0042187500	-0.2427287000	-1.1776869000	-0.1392725000	2.5211939000	0.0789528182
0.0043750000	1.0987807000	-0.4749453000	-0.1392725000	-0.9604841000	-0.2467622018
0.0045312500	1.0987807000	0.0041967000	-1.6405512000	1.0838039000	-0.2242865096
0.0046875000	1.2904249000	-1.3054581000	0.8828747000	0.1894279000	0.0791614093
0.0048437500	-0.8815427000	-0.1555173000	-1.9599722000	0.3171959000	0.1601990560
0.0050000000	0.3960853000	1.2180231000	-0.7461724000	1.1796299000	0.0915204326
0.0051562500	-0.9773648000	-1.9762569000	-0.0753883000	-0.5771801000	-0.1679669096
0.0053125000	-0.4982543000	-2.4234561000	-0.4267514000	0.6685579000	-0.0825488496
0.0054687500	-0.6898985000	-0.3152313000	-1.6724933000	0.1255439000	0.1604597949
0.0056250000	0.1086190000	-1.2096297000	-0.0115041000	-1.3118461000	0.2925501160
